Unnamed: 0.1,Unnamed: 0,REF_DATE,GEO,DGUID,Gender,Type of corporation,Country,Industry,Size of enterprise,Executive,UNIT,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
73362,605262,2017,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603536,3.2.1.2.10.1.2.1,0.0,,,,0
75002,621402,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695309,4.1.1.2.1.1.2.1,105.0,,,,0
75042,621442,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693734,4.1.1.2.2.1.2.1,18.0,,,,0
75082,621482,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695084,4.1.1.2.3.1.2.1,0.0,,,,0
75122,621522,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693284,4.1.1.2.4.1.2.1,31.0,,,,0
75162,621562,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694409,4.1.1.2.5.1.2.1,13.0,,,,0
75202,621602,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694634,4.1.1.2.6.1.2.1,0.0,,,,0
75242,621642,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694184,4.1.1.2.7.1.2.1,9.0,,,,0
75282,621682,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694859,4.1.1.2.8.1.2.1,1.0,,,,0
75322,621722,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693959,4.1.1.2.9.1.2.1,33.0,,,,0
75362,621762,2017,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693509,4.1.1.2.10.1.2.1,0.0,,,,0
77002,637902,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605309,4.2.1.2.1.1.2.1,173.0,,,,0
77042,637942,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603734,4.2.1.2.2.1.2.1,17.0,,,,0
77082,637982,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605084,4.2.1.2.3.1.2.1,0.0,,,,0
77122,638022,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603284,4.2.1.2.4.1.2.1,56.0,,,,0
77162,638062,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604409,4.2.1.2.5.1.2.1,21.0,,,,0
77202,638102,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604634,4.2.1.2.6.1.2.1,0.0,,,,0
77242,638142,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604184,4.2.1.2.7.1.2.1,21.0,,,,0
77282,638182,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604859,4.2.1.2.8.1.2.1,1.0,,,,0
77322,638222,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603959,4.2.1.2.9.1.2.1,53.0,,,,0
77362,638262,2017,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603509,4.2.1.2.10.1.2.1,4.0,,,,0
79002,654402,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695324,5.1.1.2.1.1.2.1,32.0,,,,0
79042,654442,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693749,5.1.1.2.2.1.2.1,4.0,,,,0
79082,654482,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695099,5.1.1.2.3.1.2.1,0.0,,,,0
79122,654522,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693299,5.1.1.2.4.1.2.1,2.0,,,,0
79162,654562,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694424,5.1.1.2.5.1.2.1,0.0,,,,0
79202,654602,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694649,5.1.1.2.6.1.2.1,0.0,,,,0
79242,654642,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694199,5.1.1.2.7.1.2.1,5.0,,,,0
79282,654682,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694874,5.1.1.2.8.1.2.1,6.0,,,,0
79322,654722,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693974,5.1.1.2.9.1.2.1,14.0,,,,0
79362,654762,2017,New Brunswick,2021A000213,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693524,5.1.1.2.10.1.2.1,1.0,,,,0
81002,670902,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605324,5.2.1.2.1.1.2.1,169.0,,,,0
81042,670942,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603749,5.2.1.2.2.1.2.1,6.0,,,,0
81082,670982,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605099,5.2.1.2.3.1.2.1,5.0,,,,0
81122,671022,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603299,5.2.1.2.4.1.2.1,26.0,,,,0
81162,671062,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604424,5.2.1.2.5.1.2.1,10.0,,,,0
81202,671102,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604649,5.2.1.2.6.1.2.1,0.0,,,,0
81242,671142,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604199,5.2.1.2.7.1.2.1,32.0,,,,0
81282,671182,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604874,5.2.1.2.8.1.2.1,10.0,,,,0
81322,671222,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603974,5.2.1.2.9.1.2.1,74.0,,,,0
81362,671262,2017,New Brunswick,2021A000213,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603524,5.2.1.2.10.1.2.1,6.0,,,,0
83002,687402,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695315,6.1.1.2.1.1.2.1,993.0,,,,0
83042,687442,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693740,6.1.1.2.2.1.2.1,358.0,,,,0
83082,687482,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695090,6.1.1.2.3.1.2.1,7.0,,,,0
83122,687522,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693290,6.1.1.2.4.1.2.1,175.0,,,,0
83162,687562,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694415,6.1.1.2.5.1.2.1,33.0,,,,0
83202,687602,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694640,6.1.1.2.6.1.2.1,8.0,,,,0
83242,687642,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694190,6.1.1.2.7.1.2.1,37.0,,,,0
83282,687682,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694865,6.1.1.2.8.1.2.1,15.0,,,,0
83322,687722,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693965,6.1.1.2.9.1.2.1,345.0,,,,0
83362,687762,2017,Quebec,2021A000224,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693515,6.1.1.2.10.1.2.1,15.0,,,,0
85002,703902,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605315,6.2.1.2.1.1.2.1,1861.0,,,,0
85042,703942,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603740,6.2.1.2.2.1.2.1,579.0,,,,0
85082,703982,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605090,6.2.1.2.3.1.2.1,32.0,,,,0
85122,704022,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603290,6.2.1.2.4.1.2.1,326.0,,,,0
85162,704062,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604415,6.2.1.2.5.1.2.1,102.0,,,,0
85202,704102,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604640,6.2.1.2.6.1.2.1,36.0,,,,0
85242,704142,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604190,6.2.1.2.7.1.2.1,149.0,,,,0
85282,704182,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604865,6.2.1.2.8.1.2.1,27.0,,,,0
85322,704222,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603965,6.2.1.2.9.1.2.1,588.0,,,,0
85362,704262,2017,Quebec,2021A000224,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603515,6.2.1.2.10.1.2.1,22.0,,,,0
87002,720402,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695312,7.1.1.2.1.1.2.1,1897.0,,,,0
87042,720442,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693737,7.1.1.2.2.1.2.1,1022.0,,,,0
87082,720482,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695087,7.1.1.2.3.1.2.1,23.0,,,,0
87122,720522,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693287,7.1.1.2.4.1.2.1,279.0,,,,0
87162,720562,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694412,7.1.1.2.5.1.2.1,49.0,,,,0
87202,720602,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694637,7.1.1.2.6.1.2.1,11.0,,,,0
87242,720642,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694187,7.1.1.2.7.1.2.1,46.0,,,,0
87282,720682,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694862,7.1.1.2.8.1.2.1,56.0,,,,0
87322,720722,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693962,7.1.1.2.9.1.2.1,379.0,,,,0
87362,720762,2017,Ontario,2021A000235,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693512,7.1.1.2.10.1.2.1,32.0,,,,0
89002,736902,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605312,7.2.1.2.1.1.2.1,4326.0,,,,0
89042,736942,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603737,7.2.1.2.2.1.2.1,1928.0,,,,0
89082,736982,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605087,7.2.1.2.3.1.2.1,72.0,,,,0
89122,737022,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603287,7.2.1.2.4.1.2.1,617.0,,,,0
89162,737062,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604412,7.2.1.2.5.1.2.1,144.0,,,,0
89202,737102,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604637,7.2.1.2.6.1.2.1,51.0,,,,0
89242,737142,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604187,7.2.1.2.7.1.2.1,178.0,,,,0
89282,737182,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604862,7.2.1.2.8.1.2.1,242.0,,,,0
89322,737222,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603962,7.2.1.2.9.1.2.1,1032.0,,,,0
89362,737262,2017,Ontario,2021A000235,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603512,7.2.1.2.10.1.2.1,62.0,,,,0
91002,753402,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695321,8.1.1.2.1.1.2.1,109.0,,,,0
91042,753442,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693746,8.1.1.2.2.1.2.1,36.0,,,,0
91082,753482,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695096,8.1.1.2.3.1.2.1,0.0,,,,0
91122,753522,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693296,8.1.1.2.4.1.2.1,17.0,,,,0
91162,753562,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694421,8.1.1.2.5.1.2.1,16.0,,,,0
91202,753602,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694646,8.1.1.2.6.1.2.1,1.0,,,,0
91242,753642,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694196,8.1.1.2.7.1.2.1,3.0,,,,0
91282,753682,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694871,8.1.1.2.8.1.2.1,9.0,,,,0
91322,753722,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693971,8.1.1.2.9.1.2.1,27.0,,,,0
91362,753762,2017,Manitoba,2021A000246,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693521,8.1.1.2.10.1.2.1,0.0,,,,0
93002,769902,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605321,8.2.1.2.1.1.2.1,359.0,,,,0
93042,769942,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603746,8.2.1.2.2.1.2.1,100.0,,,,0
93082,769982,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605096,8.2.1.2.3.1.2.1,0.0,,,,0
93122,770022,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603296,8.2.1.2.4.1.2.1,58.0,,,,0
93162,770062,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604421,8.2.1.2.5.1.2.1,46.0,,,,0
93202,770102,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604646,8.2.1.2.6.1.2.1,6.0,,,,0
93242,770142,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604196,8.2.1.2.7.1.2.1,16.0,,,,0
93282,770182,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604871,8.2.1.2.8.1.2.1,62.0,,,,0
93322,770222,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603971,8.2.1.2.9.1.2.1,71.0,,,,0
93362,770262,2017,Manitoba,2021A000246,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603521,8.2.1.2.10.1.2.1,0.0,,,,0
95002,786402,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695333,9.1.1.2.1.1.2.1,33.0,,,,0
95042,786442,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693758,9.1.1.2.2.1.2.1,9.0,,,,0
95082,786482,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695108,9.1.1.2.3.1.2.1,2.0,,,,0
95122,786522,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693308,9.1.1.2.4.1.2.1,3.0,,,,0
95162,786562,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694433,9.1.1.2.5.1.2.1,6.0,,,,0
95202,786602,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694658,9.1.1.2.6.1.2.1,2.0,,,,0
95242,786642,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694208,9.1.1.2.7.1.2.1,2.0,,,,0
95282,786682,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694883,9.1.1.2.8.1.2.1,0.0,,,,0
95322,786722,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693983,9.1.1.2.9.1.2.1,9.0,,,,0
95362,786762,2017,Saskatchewan,2021A000247,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693533,9.1.1.2.10.1.2.1,0.0,,,,0
97002,802902,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605333,9.2.1.2.1.1.2.1,158.0,,,,0
97042,802942,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603758,9.2.1.2.2.1.2.1,27.0,,,,0
97082,802982,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605108,9.2.1.2.3.1.2.1,1.0,,,,0
97122,803022,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603308,9.2.1.2.4.1.2.1,9.0,,,,0
97162,803062,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604433,9.2.1.2.5.1.2.1,27.0,,,,0
97202,803102,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604658,9.2.1.2.6.1.2.1,20.0,,,,0
97242,803142,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604208,9.2.1.2.7.1.2.1,12.0,,,,0
97282,803182,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604883,9.2.1.2.8.1.2.1,7.0,,,,0
97322,803222,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603983,9.2.1.2.9.1.2.1,55.0,,,,0
97362,803262,2017,Saskatchewan,2021A000247,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603533,9.2.1.2.10.1.2.1,0.0,,,,0
99002,819402,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695318,10.1.1.2.1.1.2.1,608.0,,,,0
99042,819442,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693743,10.1.1.2.2.1.2.1,93.0,,,,0
99082,819482,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695093,10.1.1.2.3.1.2.1,57.0,,,,0
99122,819522,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693293,10.1.1.2.4.1.2.1,117.0,,,,0
99162,819562,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694418,10.1.1.2.5.1.2.1,40.0,,,,0
99202,819602,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694643,10.1.1.2.6.1.2.1,65.0,,,,0
99242,819642,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694193,10.1.1.2.7.1.2.1,19.0,,,,0
99282,819682,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694868,10.1.1.2.8.1.2.1,44.0,,,,0
99322,819722,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693968,10.1.1.2.9.1.2.1,169.0,,,,0
99362,819762,2017,Alberta,2021A000248,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693518,10.1.1.2.10.1.2.1,4.0,,,,0
101002,835902,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605318,10.2.1.2.1.1.2.1,1650.0,,,,0
101042,835942,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603743,10.2.1.2.2.1.2.1,220.0,,,,0
101082,835982,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605093,10.2.1.2.3.1.2.1,134.0,,,,0
101122,836022,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603293,10.2.1.2.4.1.2.1,321.0,,,,0
101162,836062,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604418,10.2.1.2.5.1.2.1,98.0,,,,0
101202,836102,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604643,10.2.1.2.6.1.2.1,254.0,,,,0
101242,836142,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604193,10.2.1.2.7.1.2.1,75.0,,,,0
101282,836182,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604868,10.2.1.2.8.1.2.1,139.0,,,,0
101322,836222,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603968,10.2.1.2.9.1.2.1,405.0,,,,0
101362,836262,2017,Alberta,2021A000248,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603518,10.2.1.2.10.1.2.1,4.0,,,,0
103002,852402,2017,British Columbia,2021A000259,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695306,11.1.1.2.1.1.2.1,329.0,,,,0
103042,852442,2017,British Columbia,2021A000259,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693731,11.1.1.2.2.1.2.1,86.0,,,,0
