Unnamed: 0.1,Unnamed: 0,REF_DATE,GEO,DGUID,Gender,Type of corporation,Country,Industry,Size of enterprise,Executive,UNIT,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
6302,52622,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605330,2.2.1.2.1.1.2.1,46.0,,,,0
6344,52664,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603755,2.2.1.2.2.1.2.1,3.0,,,,0
6386,52706,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605105,2.2.1.2.3.1.2.1,3.0,,,,0
6428,52748,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603305,2.2.1.2.4.1.2.1,13.0,,,,0
6470,52790,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604430,2.2.1.2.5.1.2.1,0.0,,,,0
6512,52832,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604655,2.2.1.2.6.1.2.1,0.0,,,,0
6554,52874,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604205,2.2.1.2.7.1.2.1,10.0,,,,0
6596,52916,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604880,2.2.1.2.8.1.2.1,10.0,,,,0
6638,52958,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603980,2.2.1.2.9.1.2.1,7.0,,,,0
6680,53000,2016,Newfoundland and Labrador,2021A000210,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603530,2.2.1.2.10.1.2.1,0.0,,,,0
8402,70022,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695336,3.1.1.2.1.1.2.1,3.0,,,,0
8444,70064,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693761,3.1.1.2.2.1.2.1,0.0,,,,0
8486,70106,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695111,3.1.1.2.3.1.2.1,0.0,,,,0
8528,70148,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693311,3.1.1.2.4.1.2.1,0.0,,,,0
8570,70190,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694436,3.1.1.2.5.1.2.1,0.0,,,,0
8612,70232,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694661,3.1.1.2.6.1.2.1,0.0,,,,0
8654,70274,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694211,3.1.1.2.7.1.2.1,0.0,,,,0
8696,70316,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694886,3.1.1.2.8.1.2.1,0.0,,,,0
8738,70358,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693986,3.1.1.2.9.1.2.1,3.0,,,,0
8780,70400,2016,Prince Edward Island,2021A000211,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693536,3.1.1.2.10.1.2.1,0.0,,,,0
10502,87422,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605336,3.2.1.2.1.1.2.1,12.0,,,,0
10544,87464,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603761,3.2.1.2.2.1.2.1,0.0,,,,0
10586,87506,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605111,3.2.1.2.3.1.2.1,3.0,,,,0
10628,87548,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603311,3.2.1.2.4.1.2.1,0.0,,,,0
10670,87590,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604436,3.2.1.2.5.1.2.1,0.0,,,,0
10712,87632,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604661,3.2.1.2.6.1.2.1,0.0,,,,0
10754,87674,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604211,3.2.1.2.7.1.2.1,5.0,,,,0
10796,87716,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604886,3.2.1.2.8.1.2.1,0.0,,,,0
10838,87758,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603986,3.2.1.2.9.1.2.1,4.0,,,,0
